그매이,,,,NP,*,F,그매이,*,*,*,*,*
그분,,,,NP,*,T,그분,*,*,*,*,*
그연,,,,NP,*,T,그연,*,*,*,*,*
그이,,,,NP,*,F,그이,*,*,*,*,*
그자,,,,NP,*,F,그자,*,*,*,*,*
그짜,,,,NP,*,F,그짜,*,*,*,*,*
그짝,,,,NP,*,T,그짝,*,*,*,*,*
그쪼,,,,NP,*,F,그쪼,*,*,*,*,*
그쪽,,,,NP,*,T,그쪽,*,*,*,*,*
그치,,,,NP,*,F,그치,*,*,*,*,*
그펜,,,,NP,*,T,그펜,*,*,*,*,*
그편,,,,NP,*,T,그편,*,*,*,*,*
그기,,,,NP,*,F,그기,*,*,*,*,*
그니,,,,NP,*,F,그니,*,*,*,*,*
그니들,,,,NP,*,T,그니들,*,*,*,*,*
그디,,,,NP,*,F,그디,*,*,*,*,*
그미,,,,NP,*,F,그미,*,*,*,*,*
긍게,,,,NP,*,F,긍게,*,*,*,*,*
기것,,,,NP,*,T,기것,*,*,*,*,*
기따이,,,,NP,*,F,기따이,*,*,*,*,*
기기,,,,NP,*,F,기기,*,*,*,*,*
기말,,,,NP,*,T,기말,*,*,*,*,*
기모,,,,NP,*,F,기모,*,*,*,*,*
기처,,,,NP,*,F,기처,*,*,*,*,*
기하,,,,NP,*,F,기하,*,*,*,*,*
기하생,,,,NP,*,T,기하생,*,*,*,*,*
나,,,,NP,*,F,나,*,*,*,*,*
납승,,,,NP,*,T,납승,*,*,*,*,*
납자,,,,NP,*,F,납자,*,*,*,*,*
내,,,,NP,*,F,내,*,*,*,*,*
내공,,,,NP,*,T,내공,*,*,*,*,*
내모,,,,NP,*,F,내모,*,*,*,*,*
내부,,,,NP,*,F,내부,*,*,*,*,*
내조,,,,NP,*,F,내조,*,*,*,*,*
내형,,,,NP,*,T,내형,*,*,*,*,*
너,,,,NP,*,F,너,*,*,*,*,*
너네,,,,NP,*,F,너네,*,*,*,*,*
너거,,,,NP,*,F,너거,*,*,*,*,*
너그,,,,NP,*,F,너그,*,*,*,*,*
너기,,,,NP,*,F,너기,*,*,*,*,*
너희,,,,NP,*,F,너희,*,*,*,*,*
네,,,,NP,*,F,네,*,*,*,*,*
네년,,,,NP,*,T,네년,*,*,*,*,*
네놈,,,,NP,*,T,네놈,*,*,*,*,*
네으,,,,NP,*,F,네으,*,*,*,*,*
노가,,,,NP,*,F,노가,*,*,*,*,*
노객,,,,NP,*,T,노객,*,*,*,*,*
노납,,,,NP,*,T,노납,*,*,*,*,*
노물,,,,NP,*,T,노물,*,*,*,*,*
노부,,,,NP,*,F,노부,*,*,*,*,*
노생,,,,NP,*,T,노생,*,*,*,*,*
노신,,,,NP,*,T,노신,*,*,*,*,*
노재,,,,NP,*,F,노재,*,*,*,*,*
노졸,,,,NP,*,T,노졸,*,*,*,*,*
