두짜,,,,NR,*,F,두짜,*,*,*,*,*
두째,,,,NR,*,F,두째,*,*,*,*,*
두차,,,,NR,*,F,두차,*,*,*,*,*
두채,,,,NR,*,F,두채,*,*,*,*,*
두나,,,,NR,*,F,두나,*,*,*,*,*
두리,,,,NR,*,F,두리,*,*,*,*,*
두서너째,,,,NR,*,F,두서너째,*,*,*,*,*
두서넛,,,,NR,*,T,두서넛,*,*,*,*,*
두세째,,,,NR,*,F,두세째,*,*,*,*,*
두어째,,,,NR,*,F,두어째,*,*,*,*,*
두엇,,,,NR,*,T,두엇,*,*,*,*,*
두우째,,,,NR,*,F,두우째,*,*,*,*,*
두을,,,,NR,*,T,두을,*,*,*,*,*
두훌,,,,NR,*,T,두훌,*,*,*,*,*
두흘,,,,NR,*,T,두흘,*,*,*,*,*
둘,,,,NR,*,T,둘,*,*,*,*,*
둘세,,,,NR,*,F,둘세,*,*,*,*,*
둘째,,,,NR,*,F,둘째,*,*,*,*,*
둘찌,,,,NR,*,F,둘찌,*,*,*,*,*
둘차,,,,NR,*,F,둘차,*,*,*,*,*
둘차히,,,,NR,*,F,둘차히,*,*,*,*,*
둘채,,,,NR,*,F,둘채,*,*,*,*,*
둟,,,,NR,*,T,둟,*,*,*,*,*
둿,,,,NR,*,T,둿,*,*,*,*,*
륙,,,,NR,*,T,륙,*,*,*,*,*
륙십,,,,NR,*,T,륙십,*,*,*,*,*
마건,,,,NR,*,T,마건,*,*,*,*,*
마근,,,,NR,*,T,마근,*,*,*,*,*
마온,,,,NR,*,T,마온,*,*,*,*,*
마은,,,,NR,*,T,마은,*,*,*,*,*
마한,,,,NR,*,T,마한,*,*,*,*,*
마혼,,,,NR,*,T,마혼,*,*,*,*,*
마훈,,,,NR,*,T,마훈,*,*,*,*,*
마흐나문,,,,NR,*,T,마흐나문,*,*,*,*,*
마흔,,,,NR,*,T,마흔,*,*,*,*,*
막,,,,NR,*,T,막,*,*,*,*,*
만,,,,NR,*,T,만,*,*,*,*,*
만만,,,,NR,*,T,만만,*,*,*,*,*
메,,,,NR,*,F,메,*,*,*,*,*
멧,,,,NR,*,T,멧,*,*,*,*,*
멫,,,,NR,*,T,멫,*,*,*,*,*
멫멫,,,,NR,*,T,멫멫,*,*,*,*,*
몇,,,,NR,*,T,몇,*,*,*,*,*
몇몇,,,,NR,*,T,몇몇,*,*,*,*,*
모,,,,NR,*,F,모,*,*,*,*,*
모호,,,,NR,*,F,모호,*,*,*,*,*
묘,,,,NR,*,F,묘,*,*,*,*,*
무량대수,,,,NR,*,F,무량대수,*,*,*,*,*
무량수,,,,NR,*,F,무량수,*,*,*,*,*
미,,,,NR,*,F,미,*,*,*,*,*
밋,,,,NR,*,T,밋,*,*,*,*,*
및,,,,NR,*,T,및,*,*,*,*,*
백,,,,NR,*,T,백,*,*,*,*,*
백만,,,,NR,*,T,백만,*,*,*,*,*
분,,,,NR,*,T,분,*,*,*,*,*
불가사의,,,,NR,*,F,불가사의,*,*,*,*,*
사,,,,NR,*,F,사,*,*,*,*,*
사십,,,,NR,*,T,사십,*,*,*,*,*
산십,,,,NR,*,T,산십,*,*,*,*,*
삼,,,,NR,*,T,삼,*,*,*,*,*
삼십,,,,NR,*,T,삼십,*,*,*,*,*
상미두,,,,NR,*,F,상미두,*,*,*,*,*
서넣,,,,NR,*,T,서넣,*,*,*,*,*
서너너덧,,,,NR,*,T,서너너덧,*,*,*,*,*
서너째,,,,NR,*,F,서너째,*,*,*,*,*
서넛,,,,NR,*,T,서넛,*,*,*,*,*
서런,,,,NR,*,T,서런,*,*,*,*,*
서룬,,,,NR,*,T,서룬,*,*,*,*,*
서르나문,,,,NR,*,T,서르나문,*,*,*,*,*
서른,,,,NR,*,T,서른,*,*,*,*,*
서이,,,,NR,*,F,서이,*,*,*,*,*
서흔,,,,NR,*,T,서흔,*,*,*,*,*
서히,,,,NR,*,F,서히,*,*,*,*,*
설룬,,,,NR,*,T,설룬,*,*,*,*,*
설훈,,,,NR,*,T,설훈,*,*,*,*,*
설흔,,,,NR,*,T,설흔,*,*,*,*,*
섬,,,,NR,*,T,섬,*,*,*,*,*
섯,,,,NR,*,T,섯,*,*,*,*,*
세낫,,,,NR,*,T,세낫,*,*,*,*,*
세넷,,,,NR,*,T,세넷,*,*,*,*,*
세차,,,,NR,*,F,세차,*,*,*,*,*
세나,,,,NR,*,F,세나,*,*,*,*,*
세나기,,,,NR,*,F,세나기,*,*,*,*,*
세이,,,,NR,*,F,세이,*,*,*,*,*
세차히,,,,NR,*,F,세차히,*,*,*,*,*
섿,,,,NR,*,T,섿,*,*,*,*,*
셋,,,,NR,*,T,셋,*,*,*,*,*
셋째,,,,NR,*,F,셋째,*,*,*,*,*
셑,,,,NR,*,T,셑,*,*,*,*,*
셓,,,,NR,*,T,셓,*,*,*,*,*
셔른,,,,NR,*,T,셔른,*,*,*,*,*
셔이,,,,NR,*,F,셔이,*,*,*,*,*
셜흔,,,,NR,*,T,셜흔,*,*,*,*,*
솃,,,,NR,*,T,솃,*,*,*,*,*
수백만,,,,NR,*,T,수백만,*,*,*,*,*
수백억,,,,NR,*,T,수백억,*,*,*,*,*
수백조,,,,NR,*,F,수백조,*,*,*,*,*
수십만,,,,NR,*,T,수십만,*,*,*,*,*
수십억,,,,NR,*,T,수십억,*,*,*,*,*
수십조,,,,NR,*,F,수십조,*,*,*,*,*
수억만,,,,NR,*,T,수억만,*,*,*,*,*
수천만,,,,NR,*,T,수천만,*,*,*,*,*
수천억,,,,NR,*,T,수천억,*,*,*,*,*
수천조,,,,NR,*,F,수천조,*,*,*,*,*
수만,,,,NR,*,T,수만,*,*,*,*,*
수멀,,,,NR,*,T,수멀,*,*,*,*,*
수무남은,,,,NR,*,T,수무남은,*,*,*,*,*
수무남짓,,,,NR,*,T,수무남짓,*,*,*,*,*
수물,,,,NR,*,T,수물,*,*,*,*,*
